wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,HandschwMuffe,winkel
148829,546531,32,32,1,0,0,180
148829,546532,32,32,1,0,0,0
148829,546533,32,32,1,0,0,180
148829,546534,32,32,2,0,0,180
148829,546535,32,32,3,0,0,180
148829,546536,32,32,1,0,0,0
148829,546537,32,32,1,0,0,0
148829,546538,32,32,1,0,0,0
148829,546538,32,32,1,0,0,180
148829,546539,32,32,1,0,0,0
148829,546540,32,32,1,0,0,0
148829,546541,32,32,1,0,0,0
148829,546542,32,32,1,0,0,0
148829,546543,32,32,1,0,0,0
148829,546543,32,32,1,0,0,180
148829,546544,32,32,1,0,0,0
148829,546544,32,32,1,0,0,180
148829,546545,32,32,1,0,0,180
148829,546546,32,32,1,0,0,0
148829,546547,32,32,1,0,0,0
148829,546547,32,32,1,0,0,0
148829,546547,32,32,1,0,0,0
148829,546548,32,32,1,0,0,0
148829,546548,32,32,1,0,0,0
148829,546548,32,32,1,0,0,0
148829,546549,32,32,1,0,0,0
148829,546549,32,32,1,0,0,180
148829,546549,32,32,1,0,0,180
148829,546549,32,32,1,0,0,180
148829,546550,32,32,4,0,0,0
148830,546641,32,32,1,0,0,180
148830,546642,32,32,1,0,0,180
148830,546644,32,32,1,0,0,0
148833,546690,32,32,12,0,0,270
148833,546691,32,32,12,0,0,90
148833,546692,32,32,12,0,0,90
148833,546693,32,32,12,0,0,270
148835,546700,40,40,24,0,0,0
148835,546701,40,40,48,0,0,0
148858,547162,32,32,17,0,0,180
148858,547163,32,32,25,0,0,180
148858,547164,32,32,7,0,0,180
148858,547165,32,32,10,0,0,180
148858,547166,32,32,7,0,0,180
148942,548481,50,50,5,0,0,90
148942,548482,50,50,5,0,0,270
148945,548486,50,65,5,0,0,180
148948,548546,32,32,12,0,0,270
148948,548547,32,32,12,0,0,270
148949,548548,50,50,1,0,0,270
148949,548549,50,50,1,0,0,270
148982,548911,50,50,11,0,0,90
148982,548912,50,50,11,0,0,270
148984,548915,65,65,11,0,0,270
148989,548959,32,32,12,0,0,270
148989,548960,32,32,12,0,0,270
148991,548963,50,50,1,0,0,270
148991,548964,50,50,1,0,0,270
148995,549103,65,65,15,0,0,180
148995,549104,65,65,2,0,0,270
148995,549105,65,65,2,0,0,90
148995,549106,65,65,15,0,0,180
149014,549516,40,40,10,0,0,180
149014,549517,40,40,10,0,0,180
149014,549520,40,40,2,0,0,180
149014,549520,32,40,2,0,0,90
149014,549521,32,40,2,0,0,90
149014,549521,40,40,2,0,0,180
149014,549523,40,40,2,0,0,180
149014,549524,40,40,2,0,0,180
149014,549527,40,40,1,0,0,180
149014,549528,40,40,1,0,0,180
149014,549530,40,40,1,0,0,180
149014,549531,40,40,1,0,0,180
149017,549541,65,65,1,0,0,0
149017,549542,65,65,2,0,0,180
149033,549815,32,50,7,0,0,0
149033,549816,32,50,7,0,0,0
149033,549817,50,50,9,0,0,0
149033,549818,50,50,9,0,0,0
149033,549819,50,50,8,0,0,0
149033,549820,50,50,8,0,0,0
149033,549821,50,50,1,0,0,0
149033,549822,50,50,1,0,0,0
149033,549823,50,50,1,0,0,0
149058,550154,50,50,8,0,0,180
149058,550155,50,50,6,0,0,180
149072,550373,32,32,1,0,0,180
149072,550375,32,32,2,0,0,180
