wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,HandschwMuffe,winkel
148829,546524,0,32,1,0,0,0
148829,546525,0,32,1,0,0,0
148829,546550,0,32,4,0,0,0
148829,546528,0,32,1,0,0,180
148829,546529,0,32,1,0,0,0
148829,546546,0,32,1,0,0,0
148829,546538,0,32,1,0,0,0
148829,546538,0,32,1,0,0,180
148829,546526,0,32,5,0,0,180
148829,546530,0,32,1,0,0,180
148829,546537,0,32,1,0,0,0
148829,546541,0,32,1,0,0,0
148829,546539,0,32,1,0,0,0
148829,546534,0,32,2,0,0,180
148829,546544,0,32,1,0,0,0
148829,546544,0,32,1,0,0,180
148829,546542,0,32,1,0,0,0
148829,546540,0,32,1,0,0,0
148829,546535,0,32,3,0,0,180
148829,546532,0,32,1,0,0,0
148829,546531,0,32,1,0,0,180
148829,546533,0,32,1,0,0,180
148829,546543,0,32,1,0,0,0
148829,546543,0,32,1,0,0,180
148829,546536,0,32,1,0,0,0
148830,546644,0,32,1,0,0,0
148830,546641,0,32,1,0,0,180
148830,546642,0,32,1,0,0,180
148833,546690,0,32,12,0,0,270
148833,546691,0,32,12,0,0,90
148833,546693,0,32,12,0,0,270
148833,546692,0,32,12,0,0,90
148835,546701,0,40,48,0,0,0
148835,546700,0,40,24,0,0,0
421546,547037,0,32,7,0,0,180
421546,547038,0,32,3,0,0,180
148858,547162,0,32,17,0,0,180
148858,547163,0,32,25,0,0,180
148858,547164,0,32,7,0,0,180
148858,547165,0,32,10,0,0,180
148858,547166,0,32,7,0,0,180
148942,548481,0,50,5,0,0,90
148942,548482,0,50,5,0,0,270
148945,548486,0,65,5,0,0,180
148948,548546,0,32,12,0,0,270
148948,548547,0,32,12,0,0,270
148949,548548,0,50,1,0,0,270
148949,548549,0,50,1,0,0,270
148982,548911,0,50,11,0,0,90
148982,548912,0,50,11,0,0,270
148984,548915,0,65,11,0,0,270
148989,548959,0,32,12,0,0,270
148989,548960,0,32,12,0,0,270
148991,548963,0,50,1,0,0,270
148991,548964,0,50,1,0,0,270
148995,549104,0,65,2,0,0,270
148995,549103,0,65,15,0,0,180
148995,549106,0,65,15,0,0,180
148995,549105,0,65,2,0,0,90
149014,549521,0,40,2,0,0,90
149014,549521,0,40,2,0,0,180
149014,549520,0,40,2,0,0,180
149014,549520,0,40,2,0,0,90
149014,549517,0,40,10,0,0,180
149014,549516,0,40,10,0,0,180
149014,549527,0,40,1,0,0,180
149014,549531,0,40,1,0,0,180
149014,549530,0,40,1,0,0,180
149014,549524,0,40,2,0,0,180
149014,549528,0,40,1,0,0,180
149014,549523,0,40,2,0,0,180
149017,549542,0,65,2,0,0,180
149017,549541,0,65,1,0,0,0
149033,549821,0,50,1,0,0,0
149033,549822,0,50,1,0,0,0
149033,549820,0,50,8,0,0,0
149033,549818,0,50,9,0,0,0
149033,549816,0,50,7,0,0,0
149033,549815,0,50,7,0,0,0
149033,549819,0,50,8,0,0,0
149033,549817,0,50,9,0,0,0
149033,549823,0,50,1,0,0,0
149072,550382,0,32,2,0,0,0
149072,550383,0,32,1,0,0,180
149072,550384,0,32,2,0,0,180
149072,550380,0,32,1,0,0,180
149072,550386,0,32,2,0,0,0
149072,550385,0,32,1,0,0,0
149072,550385,0,32,1,0,0,180
149072,550381,0,32,1,0,0,0
149072,550379,0,32,2,0,0,180
149072,550378,0,32,1,0,0,0
149072,550378,0,32,1,0,0,180
149072,550377,0,32,1,0,0,0
149072,550376,0,32,1,0,0,0
149072,550375,0,32,2,0,0,180
149072,550388,0,32,1,0,0,0
149072,550387,0,32,1,0,0,180
149072,550373,0,32,1,0,0,180
149072,550389,0,32,2,0,0,180
149058,550155,0,50,6,0,0,180
149058,550154,0,50,8,0,0,180
149187,551829,0,40,30,0,0,180
149188,551830,0,40,30,0,0,180
149202,551966,0,32,1,0,0,270
149216,552065,0,40,2,0,0,0
149217,552066,0,40,8,0,0,0
149217,552067,0,40,2,0,0,0
149217,552068,0,40,2,0,0,0
149218,552069,0,40,2,0,0,0
149219,552070,0,40,8,0,0,0
149219,552071,0,40,2,0,0,0
149219,552072,0,40,2,0,0,0
149220,552073,0,40,8,0,0,0
149221,552074,0,40,2,0,0,0
149230,552305,0,32,1,0,0,90
149230,552308,0,32,1,0,0,90
149119,551087,0,40,13,0,0,180
149119,551090,0,40,24,0,0,180
149193,551907,0,50,2,0,0,180
149193,551903,0,50,22,0,0,180
149193,551906,0,50,6,0,0,180
149193,551904,0,50,2,0,0,180
149193,551908,0,50,2,0,0,180
149193,551905,0,50,22,0,0,180
149239,552498,0,32,1,0,0,180
149239,552499,0,32,10,0,0,180
149239,552500,0,32,11,0,0,180
149239,552501,0,32,1,0,0,270
149239,552501,0,32,1,0,0,180
149239,552502,0,32,1,0,0,180
149239,552503,0,32,2,0,0,180
149239,552504,0,32,1,0,0,180
149239,552505,0,32,1,0,0,180
149242,552511,0,32,2,0,0,180
149242,552512,0,32,1,0,0,180
149242,552515,0,32,1,0,0,180
149242,552516,0,32,4,0,0,180
149242,552517,0,32,12,0,0,180
149242,552521,0,32,1,0,0,270
149245,552576,0,32,6,0,0,180
149245,552577,0,32,1,0,0,180
149245,552578,0,32,2,0,0,180
149266,552920,0,50,1,0,0,180
149266,552922,0,50,25,0,0,180
149293,553408,0,40,1,0,0,270
149293,553409,0,40,1,0,0,270
149293,553410,0,40,1,0,0,90
149293,553411,0,40,1,0,0,90
149294,553412,0,40,35,0,0,180
149294,553413,0,40,35,0,0,180
149295,553428,0,50,1,0,0,180
149295,553433,0,50,1,0,0,180
149278,553226,0,50,2,0,0,180
149278,553224,0,50,2,0,0,180
149278,553236,0,50,4,0,0,180
149278,553234,0,50,4,0,0,180
149278,553221,0,50,8,0,0,180
149278,553233,0,50,6,0,0,180
149278,553232,0,50,12,0,0,180
149278,553217,0,50,4,0,0,180
149278,553227,0,50,9,0,0,180
149278,553228,0,50,6,0,0,180
149278,553222,0,50,17,0,0,0
149278,553225,0,50,8,0,0,180
149278,553220,0,50,1,0,0,0
149278,553242,0,50,3,0,0,180
149278,553239,0,50,14,0,0,180
149278,553219,0,50,1,0,0,0
149278,553235,0,50,2,0,0,180
149278,553218,0,50,4,0,0,0
149278,553231,0,50,3,0,0,180
149278,553230,0,50,3,0,0,180
149278,553241,0,50,3,0,0,180
149278,553240,0,50,6,0,0,180
149278,553229,0,50,3,0,0,180
149278,553223,0,50,6,0,0,180
149295,553422,0,50,1,0,0,180
149295,553417,0,50,1,0,0,180
149348,554262,0,50,2,0,0,180
149348,554263,0,50,32,0,0,180
149348,554264,0,50,20,0,0,180
149348,554265,0,50,2,0,0,180
149324,554031,0,32,1,0,0,180
149324,554030,0,32,1,0,0,180
149324,554029,0,32,6,0,0,180
149324,554028,0,32,6,0,0,180
149325,554036,0,40,1,0,0,180
149325,554037,0,40,1,0,0,180
149325,554035,0,40,3,0,0,180
149325,554034,0,40,3,0,0,180
149325,554033,0,40,3,0,0,180
149325,554032,0,40,3,0,0,180
149373,554493,0,32,4,0,0,270
149373,554494,0,32,4,0,0,90
149375,554512,0,32,3,0,0,270
149375,554513,0,32,3,0,0,90
149375,554514,0,32,2,0,0,90
149375,554515,0,32,2,0,0,90
149375,554516,0,32,3,0,0,90
149375,554516,0,32,3,0,0,270
149266,552919,0,50,16,0,0,180
149266,552925,0,50,2,0,0,180
149266,552921,0,50,2,0,0,180
149266,552917,0,50,16,0,0,180
149266,552924,0,50,1,0,0,180
149266,552918,0,50,3,0,0,180
149266,552923,0,50,1,0,0,180
149266,554680,0,50,2,0,0,180
149266,554681,0,50,1,0,0,180
149266,554682,0,50,15,0,0,180
149391,554837,0,32,1,0,0,90
149399,554975,0,32,4,0,0,180
149399,554976,0,32,1,0,0,180
149403,555090,0,32,1,0,0,270
149288,553338,0,65,15,0,0,180
149288,553341,0,65,1,0,0,270
149288,553345,0,65,15,0,0,180
149288,553350,0,65,2,0,0,180
149288,553349,0,65,13,0,0,180
149413,555189,0,32,4,0,0,90
149413,555188,0,32,4,0,0,270
149509,556788,0,32,2,0,0,0
149509,556789,0,32,2,0,0,0
149509,556790,0,32,3,0,0,0
149509,556791,0,32,6,0,0,0
149509,556792,0,32,15,0,0,0
149509,556793,0,32,3,0,0,0
149509,556794,0,32,3,0,0,0
149509,556795,0,32,3,0,0,0
149509,556796,0,32,3,0,0,0
149509,556797,0,32,1,0,0,270
149512,556809,0,40,2,0,0,270
149512,556810,0,40,2,0,0,270
149527,557187,0,32,1,0,0,0
149527,557188,0,32,1,0,0,180
149527,557189,0,32,1,0,0,0
149527,557191,0,32,1,0,0,0
149527,557191,0,32,1,0,0,180
149527,557194,0,32,2,0,0,180
149527,557196,0,32,1,0,0,180
149527,557198,0,32,1,0,0,180
149527,557199,0,32,1,0,0,180
149527,557199,0,32,1,0,0,180
149527,557200,0,32,1,0,0,180
149527,557201,0,32,1,0,0,180
149527,557202,0,32,1,0,0,180
149488,556276,0,50,8,0,0,180
149486,556273,0,50,2,0,0,180
149486,556271,0,50,37,0,0,180
149486,556272,0,50,3,0,0,180
149555,557683,0,32,1,0,0,270
149555,557684,0,32,1,0,0,270
149555,557685,0,32,1,0,0,90
149555,557686,0,32,1,0,0,90
149555,557687,0,32,1,0,0,180
149555,557688,0,32,1,0,0,180
149555,557689,0,32,1,0,0,270
149555,557690,0,32,1,0,0,270
149556,557700,0,32,9,0,0,180
149556,557701,0,32,6,0,0,180
149556,557702,0,32,3,0,0,180
149556,557703,0,32,1,0,0,180
149556,557704,0,32,2,0,0,180
149556,557705,0,32,2,0,0,180
149556,557706,0,32,3,0,0,180
149556,557707,0,32,4,0,0,180
149556,557708,0,32,3,0,0,180
149556,557709,0,32,4,0,0,180
149556,557710,0,32,2,0,0,180
149556,557711,0,32,2,0,0,180
149556,557712,0,32,4,0,0,180
149556,557713,0,32,2,0,0,180
149556,557714,0,32,1,0,0,180
149556,557715,0,32,2,0,0,180
149556,557716,0,32,3,0,0,180
149556,557717,0,32,4,0,0,180
149560,557758,0,40,18,0,0,0
149540,557486,0,65,28,0,0,180
149607,558723,0,32,2,0,0,180
149607,558728,0,32,1,0,0,180
149607,558727,0,32,1,0,0,180
149607,558725,0,32,1,0,0,0
149607,558729,0,32,1,0,0,90
149607,558724,0,32,1,0,0,180
149607,558722,0,32,3,0,0,180
149607,558726,0,32,1,0,0,270
149607,558730,0,32,1,0,0,270
149607,558721,0,32,1,0,0,90
149563,557763,0,40,18,0,0,0
149670,560301,0,32,3,0,0,180
149670,560300,0,32,3,0,0,180
149670,560302,0,32,3,0,0,0
149670,560299,0,32,3,0,0,0
149727,561073,0,32,3,0,0,180
149727,561074,0,32,19,0,0,180
149727,561075,0,32,2,0,0,180
149698,560687,0,32,12,0,0,180
149698,560686,0,32,12,0,0,180
149698,560685,0,32,4,0,0,180
149749,561467,0,32,1,0,0,180
149749,561468,0,32,1,0,0,0
149749,561469,0,32,1,0,0,0
149749,561469,0,32,1,0,0,180
149749,561471,0,32,1,0,0,0
149749,561471,0,32,1,0,0,0
149749,561471,0,32,1,0,0,0
149749,561472,0,32,1,0,0,0
149749,561473,0,32,1,0,0,180
149749,561474,0,32,1,0,0,0
149749,561475,0,32,1,0,0,0
149749,561477,0,32,1,0,0,180
149749,561478,0,32,1,0,0,180
149751,561497,0,50,3,0,0,180
81497,561707,0,40,18,0,0,0
81497,561708,0,40,18,0,0,0
149765,561852,0,40,10,0,0,180
149765,561853,0,40,1,0,0,180
149765,561854,0,40,6,0,0,180
149765,561855,0,40,1,0,0,180
