wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,handschwMuff,WaxWinkel
148081,533910,20,32,0,0,1,90
148081,533910,20,32,0,0,1,90
148081,533911,20,32,0,0,1,90
148081,533911,20,32,0,0,1,90
148081,533912,20,32,0,0,1,90
148081,533913,20,32,0,0,1,90
148081,533913,20,32,0,0,1,90
148110,534426,15,40,0,0,2,0
148110,534427,15,40,0,0,2,0
148130,534832,25,50,0,0,40,0
148133,534854,25,50,0,0,12,0
148133,534855,25,50,0,0,2,0
148133,534856,25,50,0,0,14,0
148149,535113,20,32,0,0,1,270
148149,535114,20,32,0,0,1,0
148149,535114,20,32,0,0,1,0
148149,535115,20,32,0,0,2,90
148149,535115,20,32,0,0,2,90
148149,535115,20,32,0,0,2,90
148149,535116,20,32,0,0,1,90
148149,535116,20,32,0,0,1,90
148149,535117,20,32,0,0,1,90
148149,535117,20,32,0,0,1,90
148149,535118,20,32,0,0,1,90
148149,535118,20,32,0,0,1,90
148149,535119,20,32,0,0,10,90
148149,535120,20,32,0,0,1,270
148149,535122,15,32,0,0,1,0
148149,535123,20,32,0,0,3,90
148149,535123,20,32,0,0,3,90
148149,535123,20,32,0,0,3,90
148149,535124,20,32,0,0,1,0
148149,535124,20,32,0,0,1,0
148149,535125,20,32,0,0,1,270
148149,535125,20,32,0,0,1,270
148149,535126,20,32,0,0,1,0
148149,535126,20,32,0,0,1,180
148149,535127,20,32,0,0,1,90
148149,535128,20,32,0,0,1,180
148149,535128,20,32,0,0,1,0
148149,535128,20,32,0,0,1,0
148149,535129,20,32,0,0,2,0
148149,535129,20,32,0,0,2,0
148149,535129,20,32,0,0,2,0
148149,535130,20,32,0,0,11,0
148149,535130,20,32,0,0,11,0
148149,535131,20,32,0,0,13,90
148149,535132,20,32,0,0,1,0
148149,535133,20,32,0,0,1,0
148149,535133,20,32,0,0,1,0
148149,535134,20,32,0,0,1,0
148149,535134,20,32,0,0,1,0
148149,535135,20,32,0,0,1,270
148149,535136,20,32,0,0,1,90
148149,535137,20,32,0,0,1,90
148149,535138,20,32,0,0,1,270
148149,535139,20,32,0,0,1,270
148149,535140,20,32,0,0,1,270
148436,539685,15,32,0,0,3,0
148436,539686,15,32,0,0,3,0
148436,539687,20,32,0,0,1,0
148436,539689,20,32,0,0,1,0
148436,539690,20,32,0,0,1,0
148436,539691,15,32,0,0,1,90
148436,539692,15,32,0,0,1,270
148436,539693,20,32,0,0,1,0
148436,539694,20,32,0,0,1,180
148436,539695,20,32,0,0,1,180
148436,539697,20,32,0,0,1,180
148436,539698,15,32,0,0,1,0
148436,539699,20,32,0,0,1,180
148436,539700,20,32,0,0,1,0
148436,539701,20,32,0,0,1,180
148436,539702,20,32,0,0,1,180
148436,539703,20,32,0,0,1,0
148436,539704,20,32,0,0,5,180
148436,539705,20,32,0,0,1,180
148436,539706,20,32,0,0,1,0
148436,539707,20,32,0,0,1,180
148436,539708,20,32,0,0,1,180
148436,539709,20,32,0,0,1,180
148436,539709,20,32,0,0,1,180
148436,539710,20,32,0,0,1,180
148436,539711,20,32,0,0,1,0
148436,539712,20,32,0,0,1,0
148440,539785,20,32,0,0,3,0
148440,539786,20,32,0,0,1,0
148440,539788,20,32,0,0,3,180
148440,539792,20,32,0,0,1,180
148440,539794,20,32,0,0,1,180
148440,539795,20,32,0,0,2,0
148440,539797,20,32,0,0,2,180
148440,539798,20,32,0,0,1,0
148440,539799,20,32,0,0,1,180
148440,539802,20,32,0,0,1,0
148440,539803,20,32,0,0,1,0
148440,539804,15,32,0,0,2,90
148462,540121,15,32,0,0,2,0
148462,540122,15,32,0,0,2,0
148462,540123,15,32,0,0,2,0
148462,540124,15,32,0,0,1,0
148462,540125,15,32,0,0,1,0
148462,540126,15,32,0,0,1,0
148462,540127,15,32,0,0,1,0
148462,540128,15,32,0,0,8,0
148462,540129,15,32,0,0,8,0
148462,540130,15,32,0,0,8,0
148462,540131,15,32,0,0,8,0
148462,540132,15,32,0,0,6,0
148462,540133,15,32,0,0,6,0
148462,540134,15,32,0,0,6,0
148462,540135,15,32,0,0,8,0
148462,540137,15,32,0,0,8,0
148462,540138,15,32,0,0,6,0
148462,540140,15,32,0,0,6,0
148463,540145,25,32,0,0,2,0
148463,540145,25,32,0,0,2,0
148468,540206,15,32,0,0,3,0
148545,541360,20,32,0,0,1,0
148545,541362,20,32,0,0,1,0
148545,541363,20,32,0,0,5,0
148545,541365,20,32,0,0,1,0
148596,542034,15,50,0,0,1,0
148596,542035,15,50,0,0,1,0
148596,542036,15,50,0,0,2,0
148596,542036,25,50,0,0,2,270
148596,542037,15,50,0,0,2,0
148596,542038,15,50,0,0,1,0
148596,542038,25,50,0,0,1,90
148596,542039,15,50,0,0,1,0
148596,542040,15,50,0,0,2,0
148596,542041,15,50,0,0,1,0
148596,542041,25,50,0,0,1,90
148596,542042,15,50,0,0,1,0
148596,542043,15,50,0,0,1,0
148596,542043,25,50,0,0,1,270
148596,542044,15,50,0,0,1,0
148596,542045,15,50,0,0,1,0
148596,542045,25,50,0,0,1,90
148596,542046,15,50,0,0,1,0
148630,542609,25,50,0,0,11,180
148630,542610,25,50,0,0,11,0
148630,542611,25,50,0,0,11,180
148630,542612,25,50,0,0,11,180
148630,542613,25,50,0,0,1,0
148630,542614,25,50,0,0,6,180
148630,542615,25,50,0,0,1,0
148692,543723,20,50,0,0,1,0
148692,543727,20,50,0,0,1,0
148692,543729,20,50,0,0,1,180
148692,543730,20,50,0,0,1,180
148692,543731,20,50,0,0,1,180
148692,543731,20,50,0,0,1,180
148692,543732,20,50,0,0,1,0
