wanr,waid,classid,sdauftragsnr,sdpositionsnr,sdmaterialnr,kcauftragsnr,kcposnr,pspelement,posnr,dnvl,Rohrlaenge,rohrquali,Rohranfang,Rohrende,strdeleid,Rohrdurchmesser,AnzahlRohre,beschbez,Nippel,Bohrung,Muffe
82922,578097,VerteilerData,869292,10,400010,4200306046,10,1030608000,V4,100,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,6,0
82922,578098,VerteilerData,869292,10,400010,4200306046,10,1030608000,V5,100,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,4,0
82922,578099,VerteilerData,869292,10,400010,4200306046,10,1030608000,V6,100,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,2,0
82922,578100,VerteilerData,869292,10,400010,4200306046,10,1030608000,V7,100,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,6,0
82922,578101,VerteilerData,869292,10,400010,4200306046,10,1030608000,V8,100,6000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,2,0
82930,578125,VerteilerData,869539,10,400010,4200306274,10,1028987000,D22,125,320,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,125,3,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
82930,578126,VerteilerData,869539,10,400010,4200306274,10,1028987000,S22,250,690,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,250,3,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
82932,578136,VerteilerData,869573,10,400010,4200306307,10,1030605000,2,100,1000,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
82932,578135,VerteilerData,869573,10,400010,4200306307,10,1030605000,1,100,1000,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82933,578140,VerteilerData,869577,10,400010,4200306299,10,1031007000,59,40,1399,"DINEN10217-1-Fe -glatt",Scheibe,Nut,NULL,40,4,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,4
82933,578139,VerteilerData,869577,10,400010,4200306299,10,1031007000,41,50,5974,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,50,6,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,12
82936,578173,VerteilerData,869638,10,400010,4200306371,10,1030090000,P18,50,950,NULL,Nut,Gewinde,NULL,50,6,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,6
82938,578183,VerteilerData,869638,30,400010,4200306371,30,1030090000,P20,50,815,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,50,6,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,6
